cohort	donor	gene	effect
Discovery LR	mm00075	CCND3	0.85
Discovery LR	mm00098	CCND3	0.8061538461538461
Discovery LR	mm00099	CCND3	0.850592885375494
Discovery LR	mm00265	CCND3	0.4304391977659305
Discovery LR	omb1791	CCND3	0.7888888888888889
Discovery LR	omb1798	CCND3	0.8922764227642276
Discovery LR	omb1846	CCND3	0.7333333333333334
Discovery LR	omb2148	CCND3	0.7462402436702837
Discovery LR	orb1444	CCND3	0.6328822055137845
Discovery LR	orb4718	CCND3	0.7638831756478814
Discovery LR	orb7320	CCND3	0.4814814814814815
Discovery LR	prom00006	CCND3	0.5603715170278638
Discovery LR	prom00016	CCND3	0.8026736413833189
Discovery LR	mm00075	CUTA	0.5797619047619048
Discovery LR	mm00098	CUTA	0.4575175511271966
Discovery LR	mm00099	CUTA	0.3495454545454545
Discovery LR	mm00265	CUTA	0.4917414488229938
Discovery LR	omb1791	CUTA	0.5204878048780488
Discovery LR	omb1798	CUTA	0.5337837837837838
Discovery LR	omb1846	CUTA	0.493939393939394
Discovery LR	omb2148	CUTA	0.4255927492744355
Discovery LR	orb1444	CUTA	0.4635069852461156
Discovery LR	orb4718	CUTA	0.3474817865061768
Discovery LR	orb7320	CUTA	0.3847402597402597
Discovery LR	prom00006	CUTA	0.2023809523809523
Discovery LR	prom00016	CUTA	0.4085787973394869
Discovery LR	mm00075	PSMB8	0.5474737612887479
Discovery LR	mm00098	PSMB8	0.4065274891365955
Discovery LR	mm00099	PSMB8	0.3347560575218334
Discovery LR	mm00265	PSMB8	0.1708705171882286
Discovery LR	omb1791	PSMB8	0.0994882600842865
Discovery LR	omb1798	PSMB8	0.0625
Discovery LR	omb1846	PSMB8	0.0976991758241758
Discovery LR	omb2148	PSMB8	0.15986958443855
Discovery LR	orb1444	PSMB8	0.2006652868125369
Discovery LR	orb4718	PSMB8	0.1752770107308888
Discovery LR	orb7320	PSMB8	0.2611399671951887
Discovery LR	prom00006	PSMB8	0.0427350427350426
Discovery LR	prom00016	PSMB8	0.3644803944389191
Discovery LR	mm00075	RPL41	0.2164377289377289
Discovery LR	mm00098	RPL41	0.2544489795918367
Discovery LR	mm00099	RPL41	0.1834128065395095
Discovery LR	mm00265	RPL41	0.0284113645458183
Discovery LR	omb1791	RPL41	0.2009185512470205
Discovery LR	omb1798	RPL41	0.1125
Discovery LR	omb1846	RPL41	0.1778673835125448
Discovery LR	omb2148	RPL41	0.0760152932394738
Discovery LR	orb1444	RPL41	0.2089006299532615
Discovery LR	orb4718	RPL41	0.1191194875947876
Discovery LR	orb7320	RPL41	0.1631944444444444
Discovery LR	prom00006	RPL41	0.0389144905273938
Discovery LR	prom00016	RPL41	0.1841039557457468
Discovery LR	mm00075	SMAP2	0.0640478223740392
Discovery LR	mm00098	SMAP2	0.0505709624796084
Discovery LR	mm00099	SMAP2	0.0941687961795959
Discovery LR	mm00265	SMAP2	0.0952815013404825
Discovery LR	omb1791	SMAP2	0.064516129032258
Discovery LR	omb1798	SMAP2	0.0666666666666666
Discovery LR	omb1846	SMAP2	0.0
Discovery LR	omb2148	SMAP2	0.1214892227302416
Discovery LR	orb1444	SMAP2	0.1121495327102803
Discovery LR	orb4718	SMAP2	0.0478142076502732
Discovery LR	orb7320	SMAP2	0.0802475151042681
Discovery LR	prom00006	SMAP2	0.1150442477876106
Discovery LR	prom00016	SMAP2	0.1423611111111111
Independent SR	20	CCND3	0.9665924276169264
Independent SR	21	CCND3	0.7857624831309042
Independent SR	31	CCND3	0.906040268456376
Independent SR	33	CCND3	0.9054054054054054
Independent SR	34	CCND3	0.9184397163120568
Independent SR	37	CCND3	0.8630597014925373
Independent SR	40	CCND3	0.6245128205128205
Independent SR	41	CCND3	0.6381178063642519
Independent SR	43	CCND3	0.8606090213320305
Independent SR	44	CCND3	0.8314655172413794
Independent SR	45	CCND3	0.962536023054755
Independent SR	46	CCND3	0.8871551334237902
Independent SR	49	CCND3	0.5629586782835039
Independent SR	50	CCND3	0.8053617571059432
